Date,Open,Close,,
2017-09-13 22:00:00,3875.99,3923.67,13,0
2017-09-13 21:00:00,3894,3875.99,13,0
2017-09-13 20:00:00,3840,3894,13,0
2017-09-13 19:00:00,3891.01,3840,13,0
2017-09-13 18:00:00,3909.07,3891.01,13,0
2017-09-13 17:00:00,3945,3909.07,13,0
2017-09-13 16:00:00,3819.99,3945,13,0
2017-09-13 15:00:00,3760,3819.99,13,0
2017-09-13 14:00:00,3833.19,3760,13,0
2017-09-13 13:00:00,3879.62,3833.19,13,0
2017-09-13 12:00:00,3821.35,3879.62,13,0
2017-09-13 11:00:00,3853,3821.35,13,0
2017-09-13 10:00:00,3929.01,3853,13,0
2017-09-13 09:00:00,3950.01,3929.01,13,0
2017-09-13 08:00:00,3955.01,3950.01,13,0
2017-09-13 07:00:00,4025.01,3955.01,13,0
2017-09-13 06:00:00,3982.42,4025.01,13,0
2017-09-13 05:00:00,4010.15,3982.42,13,0
2017-09-13 04:00:00,3953.52,4010.15,13,0
2017-09-13 03:00:00,4024.02,3953.52,13,0
2017-09-13 02:00:00,4108.13,4024.02,13,0
2017-09-13 01:00:00,4145,4108.13,13,0
2017-09-13 00:00:00,4164.52,4145,13,0
2017-09-12 23:00:00,4182.91,4164.52,12,1
2017-09-12 22:00:00,4201.97,4182.91,12,0
2017-09-12 21:00:00,4179.95,4201.97,12,0
2017-09-12 20:00:00,4167.01,4179.95,12,0
